File,Line,Type,Text,SuggestedKey
"D:\Documents\Code\terax-ai\src\app\components\CloseDialogs.tsx",176,jsx-text,"Unsaved Changes","app.components.jsx.unsaved-changes"
"D:\Documents\Code\terax-ai\src\app\components\CloseDialogs.tsx",202,jsx-text,"Close Terminal?","app.components.jsx.close-terminal"
"D:\Documents\Code\terax-ai\src\app\components\CloseDialogs.tsx",228,jsx-text,"Unsaved Changes","app.components.jsx.unsaved-changes"
"D:\Documents\Code\terax-ai\src\app\components\CloseDialogs.tsx",291,jsx-text,"Quit Terax?","app.components.jsx.quit-terax"
"D:\Documents\Code\terax-ai\src\components\ai-elements\chat-code.tsx",232,aria-label,"Run in active terminal","components.ai-elements.aria.run-in-active-terminal"
"D:\Documents\Code\terax-ai\src\components\ai-elements\chat-code.tsx",233,title,"Run in active terminal","components.ai-elements.title.run-in-active-terminal"
"D:\Documents\Code\terax-ai\src\components\ai-elements\chat-code.tsx",269,aria-label,"Copy code","components.ai-elements.aria.copy-code"
"D:\Documents\Code\terax-ai\src\components\ai-elements\context.tsx",67,aria-label,"Model context usage","components.ai-elements.aria.model-context-usage"
"D:\Documents\Code\terax-ai\src\components\ai-elements\conversation.tsx",46,title,"No messages yet","components.ai-elements.title.no-messages-yet"
"D:\Documents\Code\terax-ai\src\components\ai-elements\message.tsx",263,aria-label,"Previous branch","components.ai-elements.aria.previous-branch"
"D:\Documents\Code\terax-ai\src\components\ai-elements\message.tsx",286,aria-label,"Next branch","components.ai-elements.aria.next-branch"
"D:\Documents\Code\terax-ai\src\components\ai-elements\reasoning.tsx",154,jsx-text,"Thinking","components.ai-elements.jsx.thinking"
"D:\Documents\Code\terax-ai\src\components\ai-elements\reasoning.tsx",157,jsx-text,"Reasoned","components.ai-elements.jsx.reasoned"
"D:\Documents\Code\terax-ai\src\components\ai-elements\snippet.tsx",136,aria-label,"Copy","components.ai-elements.aria.copy"
"D:\Documents\Code\terax-ai\src\components\ai-elements\snippet.tsx",140,title,"Copy","components.ai-elements.title.copy"
"D:\Documents\Code\terax-ai\src\components\ai-elements\tool.tsx",253,jsx-text,"Input","components.ai-elements.jsx.input"
"D:\Documents\Code\terax-ai\src\components\ai-elements\tool.tsx",328,jsx-text,"Error","components.ai-elements.jsx.error"
"D:\Documents\Code\terax-ai\src\components\ai-elements\tool.tsx",372,jsx-text,"✓","components.ai-elements.jsx."
"D:\Documents\Code\terax-ai\src\components\ai-elements\tool.tsx",373,jsx-text,"read","components.ai-elements.jsx.read"
"D:\Documents\Code\terax-ai\src\components\ai-elements\tool.tsx",391,jsx-text,"empty","components.ai-elements.jsx.empty"
"D:\Documents\Code\terax-ai\src\components\ai-elements\tool.tsx",532,jsx-text,"✓","components.ai-elements.jsx."
"D:\Documents\Code\terax-ai\src\components\ai-elements\tool.tsx",551,jsx-text,"✓","components.ai-elements.jsx."
"D:\Documents\Code\terax-ai\src\components\ai-elements\tool.tsx",571,jsx-text,"running","components.ai-elements.jsx.running"
"D:\Documents\Code\terax-ai\src\components\ai-elements\tool.tsx",738,aria-label,"Insert into active terminal","components.ai-elements.aria.insert-into-active-terminal"
"D:\Documents\Code\terax-ai\src\components\ui\breadcrumb.tsx",11,aria-label,"breadcrumb","components.ui.aria.breadcrumb"
"D:\Documents\Code\terax-ai\src\components\ui\breadcrumb.tsx",109,jsx-text,"More","components.ui.jsx.more"
"D:\Documents\Code\terax-ai\src\components\ui\command.tsx",36,title,"Command Palette","components.ui.title.command-palette"
"D:\Documents\Code\terax-ai\src\components\ui\dialog.tsx",77,jsx-text,"Close","components.ui.jsx.close"
"D:\Documents\Code\terax-ai\src\components\ui\dialog.tsx",116,jsx-text,"Close","components.ui.jsx.close"
"D:\Documents\Code\terax-ai\src\components\ui\sheet.tsx",78,jsx-text,"Close","components.ui.jsx.close"
"D:\Documents\Code\terax-ai\src\components\ui\spinner.tsx",12,aria-label,"Loading","components.ui.aria.loading"
"D:\Documents\Code\terax-ai\src\modules\agents\components\AgentLauncherPanel.tsx",115,aria-label,"Back to new tab menu","modules.agents.aria.back-to-new-tab-menu"
"D:\Documents\Code\terax-ai\src\modules\agents\components\NotificationBell.tsx",251,title,"Agent notifications","modules.agents.title.agent-notifications"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AgentStatusPill.tsx",30,title,"Open AI log","modules.ai.title.open-ai-log"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiChat.tsx",218,title,"Ask Terax anything","modules.ai.title.ask-terax-anything"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiChat.tsx",261,jsx-text,"Request failed.","modules.ai.jsx.request-failed"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiChat.tsx",522,jsx-text,"Read","modules.ai.jsx.read"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiChat.tsx",589,jsx-text,"Read","modules.ai.jsx.read"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiComposerInput.tsx",260,placeholder,"Ask Terax anything   -   # for snippets and commands, @ for files","modules.ai.placeholder.ask-terax-anything-for-snippet"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",223,jsx-text,"Plan mode","modules.ai.jsx.plan-mode"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",306,aria-label,"Close","modules.ai.aria.close"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",307,title,"Close (Esc)","modules.ai.title.close-esc"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",372,jsx-text,"Model","modules.ai.jsx.model"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",383,jsx-text,"Of which cached","modules.ai.jsx.of-which-cached"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",392,jsx-text,"Session input","modules.ai.jsx.session-input"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",398,jsx-text,"Session output","modules.ai.jsx.session-output"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",405,jsx-text,"Cache hit","modules.ai.jsx.cache-hit"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",411,jsx-text,"Session cost","modules.ai.jsx.session-cost"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",420,jsx-text,"Window","modules.ai.jsx.window"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",460,title,"Switch session","modules.ai.title.switch-session"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",531,title,"Delete session","modules.ai.title.delete-session"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiMiniWindow.tsx",543,alt,"Terax","modules.ai.alt.terax"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiStatusBarControls.tsx",90,title,"Open AI agent","modules.ai.title.open-ai-agent"
"D:\Documents\Code\terax-ai\src\modules\ai\components\AiStatusBarControls.tsx",92,jsx-text,"Open AI agent","modules.ai.jsx.open-ai-agent"
